Brand,Model Name,Box Shape,Platform Width,Shank Strength,Vamp Length,Wing Height,Heel Height,Available Sizes,Available Widths,Customization Options,Material Composition,Intended Foot Shape,Arch Support Level,Durability Rating,Price Range,Price Sources,Availability: Current or Discontinued,Notes,Springiness,Technology Type,Base Model Name,Freed Makers,freed_makers
Freed of London,Classic Deep Vamp,Medium,Average,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: W, Paste: Average, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring",Greek,Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"J, L, Q, R, W, Z, ⊕, ⛰, ✚","J, L, Q, R, W, Z, ⊕, ⛰, ✚"
Freed of London,Classic Deep Vamp,Medium-Square,Average,Strong,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: 🦋, Paste: Strong, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring","Greek, Square/Roman",Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"B, K, ★, 🦋","B, K, ★, 🦋"
Freed of London,Classic Deep Vamp,Medium-Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: A, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"A, V, 🔱","A, V, 🔱"
Freed of London,Classic Deep Vamp,Medium-Square,Broad,Soft-Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: S, Paste: Light-Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"P, S, 👑","P, S, 👑"
Freed of London,Classic Deep Vamp,Medium-Tapered,Average,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: 6, Paste: Light, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring","Greek, Egyptian",Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"6, ✠","6, ✠"
Freed of London,Classic Deep Vamp,Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: ♡, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"N, ♠, ♡, ⚓","N, ♠, ♡, ⚓"
Freed of London,Classic Deep Vamp,Square,Broad,Strong,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: G, Paste: Medium-Strong, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,G,G
Freed of London,Classic Deep Vamp,Tapered,Tapered,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: F, Paste: Medium, Platform: Tapered","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,"F, ▲, ♣","F, ▲, ♣"
Freed of London,Classic Deep Vamp,Very Tapered,Tapered,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","NX, X, XX, XXX","Maker: Y, Paste: Light, Platform: Tapered","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,Medium,High,122,,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",1,Traditional Handmade,Classic Deep Vamp,">◗, D, T, Y, △, 🛡",">◗, D, T, Y, △, 🛡"
Freed of London,Classic Light,Medium-Square,Broad,Soft-Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: S, Paste: Light-Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Low,Medium,$100.00-120.00,,Available,"Lightweight for young dancers, flexible insole Pointe Shoes - Freed of London",1,Traditional Handmade,Classic Light,"P, S","P, S"
