brand,model_name,box_shape,platform_width,shank_strength,vamp_length,wing_height,heel_height,available_sizes,available_widths,material_composition,intended_foot_shape,price_range,availability,notes,technology_type,freed_makers,data_sources,assumptions
Bloch,Alpha,Square-Wide,Wide,"Medium, Strong",Long,High,Low,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","X, X, X, X, X, X","Satin upper, Hand-stitched leather sole, B Paste box","Square/Roman, Greek",$85–110 (closeout/rare),Discontinued,"Broad platform, three quarter-shank, best for even/peasant toes or dancers transitioning to professional requirements.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/alpha, https://www.balletbox.com/blogs/brands/bloch-alpha-pointe-shoes","Platform shape, foot shape, vamp/wings pulled from Bloch and fitters"
Bloch,Amelie Soft,Medium,Medium,Soft,Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, B Paste","Egyptian, Greek",$104–120,Available,"Beginner/intermediate, moderate taper, soft shank and medium box for tapered or medium toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/amelie-soft, https://www.blochdance.com/products/amelie-soft-pointe-shoes",Bloch diagrams show best for Egyptian and Greek feet.
Bloch,Aspiration,Medium-Square,Wide,Hard,Long,High,High,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, A Paste","Square/Roman, Greek",$79–105 (clearance),Discontinued,"Stiff, long vamp, wide platform for strong feet, square/roman toes or dancers with metatarsal width.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/aspiration, https://soleilballet.com/products/bloch-aspiration",Box and fit mapped from Bloch diagrams.
Bloch,Axi Stretch,Tapered,Medium,Medium-Hard,Medium,High,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","X, X, X, X, X, X","Stretch satin upper, Leather sole, A Paste","Egyptian, Greek",$105–132,Available,"Stretch textile and contoured heel; supports lower profile and tapered feet, high wings for longer toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/axi-stretch, https://www.ballethaus-shop.de/Axi-Stretch/",Bloch and retailers: Moderate-taper/elongated toes.
Bloch,Axiom,Tapered,Medium,"Medium, Strong",Long,Medium,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, B Paste","Greek, Square/Roman",$104–118,Available,"U-shaped vamp, medium box for even and Greek toes, padded heel for secure fit.",Enhanced Traditional,N/A,"https://www.blochdance.com/products/axiom-pointe-shoe, https://dancewearsolutions.com",U-vamp and box shape match for those foot types.
Bloch,B-Morph TMT,Medium-Square,Wide,"Medium, Strong",Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","X, X, X, X, X, X","Satin upper, TMT Paste, Leather sole","Square/Roman, Giselle/Peasant",$120–139,Available,"Heat-moldable paste; wide-square for broad toes, those needing custom break-in; strong platform.",Heat‑Moldable Technology,N/A,"https://www.blochworld.com/products/b-morph, https://www.balletbox.com/brands-tmt",Square/Giselle shape targeted by TMT box shape after molding.
Bloch,Balance Lisse,Medium,Medium,Medium,Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9, 9, ., 5, 1, 0","B, C, D, E","Satin upper, Leather sole, B Paste","Egyptian, Greek",$115–124,Available,"Updated Balance line, softer feel, oval/fan-shaped box for tapered toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/balance-lisse, https://www.dance-enterprises.co.uk/pointe-shoes/balance-lisse/","Bloch fitters: elongated toe line, suits Egyptian, Greek."
Bloch,Dramatica II Stretch,Tapered,Medium,Medium,Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","X, X, X, X, X, X","Stretch satin upper, Leather sole, A Paste","Egyptian, Greek",$110–130,Available,"Stretch mesh adapts dynamically, moderate-taper; favored for long first or second toe.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/dramatica-ii-stretch, https://www.dancesupplies.com/pointe-shoes/dramatica-ii","Bloch/fitters confirm best for Egyptian, some Greek feet."
Bloch,Elegance,Tapered,Narrow,Medium,Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","X, X, X, X, X, X","Stretch satin upper, Leather sole, A Paste","Egyptian, Greek",$120–151,Available,"Stretch Relevease line, dynamic for moderate or narrow feet/medium arch, 'oval' box for long toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/elegance, https://www.movedancewear.com/dance/bloch-elegance/",Bloch fit guides equate oval/tapered box to these shapes.
Bloch,European Balance,Tapered,Wide,"Medium, Strong",Medium,Medium,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9, 9, ., 5","N, X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, B Paste","Square/Roman, Giselle/Peasant, Greek",$118–134,Available,"Extended toe platform, suits broad metatarsals or even toes, many shank/width options.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/european-balance, https://thebodywrappershop.com/products/bl_european_b","Reviews and diagrams map to broad feet: peasant, roman."
